一级国产黑布林,鲜鸡蛋,,,,,,,,,,,,,,,,,,,,,,,
南瓜（一级）,南瓜（一级）,小葱（一级）,零接触男夏季清仓短裤T15,,,,,,,,,,,,,,,,,,,,,
花蛤,,,,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,散装卡夫闲趣清咸自然原味韧性饼干,巨能家常清凉爽滑面600克,,,,,,,,,,,,,,,,,,,,,,
今野拉面雪菜肉丝面88g*5包,百野轩排骨味有机紫菜汤72g,,,,,,,,,,,,,,,,,,,,,,,
大黄鱼条,,,,,,,,,,,,,,,,,,,,,,,,
白木耳(一级),白砂糖(散),,,,,,,,,,,,,,,,,,,,,,,
紫甘薯（一级）,青菜（一级）,,,,,,,,,,,,,,,,,,,,,,,
国产香蕉（一级）,鲜鸡蛋,民益散装打折糕点系列,食上川府豆干散装,凯旋溜溜九制梅(话化类)60g,卡夫TUC闲趣清咸自然原味韧性饼干1,双汇王中王骨香风味特级火腿肠270g,凯旋溜溜话梅40克,鲜一族卤鸡蛋35克,,,,,,,,,,,,,,,,
全无敌杀虫气雾剂(清香型)600ml,妙洁100型经济装保鲜膜30cm*30m,,,,,,,,,,,,,,,,,,,,,,,
海天黄豆酱2kg,,,,,,,,,,,,,,,,,,,,,,,,
带鱼200-300,今麦郎手打鸡蛋面200克,宫川儿童全鲜鸡蛋蝴蝶面150g,,,,,,,,,,,,,,,,,,,,,,
新西兰猕猴桃（一级）,花蛤,,,,,,,,,,,,,,,,,,,,,,,
巨能家常拉面600克,超能去渍365洗衣粉（倍净焕彩）180,蓝月亮衣领净+衣领净补充液500g+50,海天黄豆酱800g,百合（一级）,,,,,,,,,,,,,,,,,,,,
散装东北米(中汇),散装东北米(中汇),佳洁士防蛀修护牙膏清新青柠香型20,索芙特汉方玫瑰香薰香浴露1kg,,,,,,,,,,,,,,,,,,,,,
一品珍白木耳60g,小白菜（一级）,云楼荷兰瓜200g,塑料购物袋(大),太太乐鸡精250克,亲友白砂糖450g,太太乐加鲜味精500克,日本南瓜（一级）,雕牌透明皂(阳光清柠)228克,全无敌蚊香(花香型)31g*20双盘,黄芩中药高级牙膏200克,美则胜软毛牙刷(二支)202,,,,,,,,,,,,,
小白菜（一级）,小白菜（一级）,塑料购物袋(大),黑人双重薄荷(原味清凉)牙膏180克,黄芩中药高级牙膏200克,超能椰果植物焕彩洗衣皂260g*2,全无敌电热蚊香片(清香型)90片+1加,蓝月亮Q厕宝50g*4,蓝怡雪文胸32058（38）,日本南瓜（一级）,太太乐鸡精500克,云楼荷兰瓜200g,,,,,,,,,,,,,
甬江特制五年加饭酒3.75L,可扬野生紫菜12g,,,,,,,,,,,,,,,,,,,,,,,
三全麦香早点奶香馒头1.36kg,,,,,,,,,,,,,,,,,,,,,,,,
科立泰迷你火锅QLT-6040(4L),,,,,,,,,,,,,,,,,,,,,,,,
芋艿（一级）,,,,,,,,,,,,,,,,,,,,,,,,
华净彩色环保分类垃圾袋(45*55*30,,,,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,鸡翅根(特等),,,,,,,,,,,,,,,,,,,,,,,
苦瓜（一级）,国产香蕉（一级）,鲈鱼（三级）,威龙樽杯红葡萄酒1L,,,,,,,,,,,,,,,,,,,,,
绿豆,佛手味精80度250克,鸭爪,,,,,,,,,,,,,,,,,,,,,,
白砂糖(散),绿豆,雪碧1.25L+美汁源果粒橙1.25L两联,萝卜（一级）,L`TNTY女中童牛仔短裤K-8841,旺旺碎冰冰果味饮料菠萝味78ml,旺旺碎冰冰果味饮料柑桔味78ml,旺旺碎冰冰果味饮料乳酸味78ml,旺旺碎冰冰果味饮料菠萝味78ml,旺旺碎冰冰果味饮料柑桔味78ml,旺旺碎冰冰果味饮料乳酸味78ml,,,,,,,,,,,,,,
康师傅冰红茶柠檬味利乐包250ML,,,,,,,,,,,,,,,,,,,,,,,,
萝卜（一级）,南瓜（一级）,,,,,,,,,,,,,,,,,,,,,,,
鸭边腿,河鲫鱼（三级）,,,,,,,,,,,,,,,,,,,,,,,
香菜（一级）,海带丝,裙带菜,鸭爪,,,,,,,,,,,,,,,,,,,,,
国产香蕉（一级）,洋葱头（一级）,紫甘薯（一级）,,,,,,,,,,,,,,,,,,,,,,
旺仔牛奶灭菌调味牛乳145ml,超能椰果洗衣皂260g,,,,,,,,,,,,,,,,,,,,,,,
北高峰糯米黄酒（袋）400ml,青菜（一级）,五丰刀切馒头450g,红富士80#（一级）,苦瓜（一级）,加碘精制盐400克,雪涛日晒自然盐300克,宫川荞麦挂面350克*2,,,,,,,,,,,,,,,,,
河鲫鱼,初生蛋,一级水蜜桃,散装东北米(中汇),荷兰青瓜（一级）,,,,,,,,,,,,,,,,,,,,
莲虹男短裤840(XXL),莲虹男短裤830(XXXL),,,,,,,,,,,,,,,,,,,,,,,
青瓜（一级）,唯新儿童营养肉酥115克,丘比沙拉酱香甜味200克,双汇王中王优级火腿肠130克,,,,,,,,,,,,,,,,,,,,,
小葱（一级）,散装新乐福排骨梳打发酵饼干,散装康元咸味忌司,,,,,,,,,,,,,,,,,,,,,,
小葱（一级）,鲈鱼（三级）,,,,,,,,,,,,,,,,,,,,,,,
七度空间纯棉夜用超薄卫生巾10片QS,,,,,,,,,,,,,,,,,,,,,,,,
金龙鱼第二代调和油5L,,,,,,,,,,,,,,,,,,,,,,,,
紫丁香雪怡八角壶1.1L(DK11),光明酸奶原味经济装100g*8,富光炫耀太空杯FGA102-500型(500ml,塑料购物袋(大),鲜鸡蛋,L钰杰依典女短裤A-2,麦香堡夹心豆沙面包40克,佳洁士超细毛养龈牙刷两支装第2支,,,,,,,,,,,,,,,,,
雪涛日晒自然盐300克,冷酸灵脱敏牙膏水果香型130克,佳洁士茶爽炫白（柠檬茶香型）牙膏,佛手味精99度1kg,,,,,,,,,,,,,,,,,,,,,
三江购物无磷洗衣粉1.6kg,花慕兰健康美肌沐浴露(木瓜美白)1k,奥妙超效洗衣皂含芦荟精华206克*2,纸音长卷卫生纸(8011)10卷装,洁玉英伦风尚毛巾JY-9013F(34*74cm,塑料购物袋(大),蓝怡雪印花蕾丝有托文胸32154(B36),李字（檀香型）蚊香5双盘,,,,,,,,,,,,,,,,,
国产香蕉（一级）,塑料购物袋(大),小葱（一级）,旺仔小馒头原味蜂蜜210g,卡夫三层高钙梳打饼干香葱蔬菜味10,娃哈哈爽歪歪益生菌酸奶饮品125ml*,,,,,,,,,,,,,,,,,,,
散装动心一族奶油果仁蛋糕,,,,,,,,,,,,,,,,,,,,,,,,
绿箭口香糖(5片)15克,光明酸奶原味经济装100g*8,银鹭桂圆八宝粥360g,,,,,,,,,,,,,,,,,,,,,,
蒜头（一级）,生姜（一级）,散装东北大米(三江购物),,,,,,,,,,,,,,,,,,,,,,
洁柔布艺软抽200抽*3,南阳之星时尚系列双层抽取面纸200,洁成垃圾袋50*60CM30只3卷,榄菊蚊香大盘装（无烟型）175g,,,,,,,,,,,,,,,,,,,,,
生姜（一级）,芋艿（一级）,,,,,,,,,,,,,,,,,,,,,,,
紫甘薯（一级）,长瓜（一级）,芋艿（一级）,,,,,,,,,,,,,,,,,,,,,,
鸡爪,,,,,,,,,,,,,,,,,,,,,,,,
嘎啦(一级),亲友阿胶枣228g,苦瓜（一级）,芬达橙汁汽水2.3L,咸亨辣味腐乳300克,香哆哆香辣青豆88克,双熊猫抽取式绉纹卫生纸300张,南阳之星双层抽取式面巾纸200抽*8,舒肤佳纯白清香型香皂125克,国产香蕉（一级）,,,,,,,,,,,,,,,
嘎啦(一级),散装徐福记糕饼系列,丘比原味沙拉酱200克,养元六个核桃核桃乳香纯型240ml,养元木糖醇六个核桃核桃乳240ml,养元六个核桃核桃乳精品型240ml,,,,,,,,,,,,,,,,,,,
散装喜之郎果汁果冻条系列,散装新乐福排骨梳打发酵饼干,光明e+益生菌酸牛奶(原味)125g,,,,,,,,,,,,,,,,,,,,,,
花蛤,,,,,,,,,,,,,,,,,,,,,,,,
伊利谷粒多牛奶饮品(红)250ml,,,,,,,,,,,,,,,,,,,,,,,,
小白菜（一级）,小葱（一级）,香菜（一级）,,,,,,,,,,,,,,,,,,,,,,
国产香蕉（一级）,火龙果（一级）,干海带,太太乐宴会特鲜酱油623ml,今麦郎手打鸡蛋面200克,今麦郎手打拉面200克,太太乐蔬之鲜调味料250g,,,,,,,,,,,,,,,,,,
五丰玉米刀切450g,湾仔码头香菇素菜大包390g,塑料购物袋(大),五芳斋速冻鲜肉粽(熟制)500g,三全面点坊香菇素菜包360g,光明e+益生菌酸牛奶原味190g,光明芦荟酸奶125g*6,富华林花生仁450g,云楼学生榨菜丝168g,云楼榨菜条158g,富华林核桃仁350g,,,,,,,,,,,,,,
塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,,,,
芹菜（一级）,,,,,,,,,,,,,,,,,,,,,,,,
赤豆,白砂糖(散),塑料购物袋(大),红糖(散),新疆红枣（一级）,福临门天然谷物调和油5升,绿豆,,,,,,,,,,,,,,,,,,
光明牌酸奶490g,光明纯鲜牛奶200ml,西红柿（一级）,蒜头（一级）,小米(散),鲜鸡蛋,衢州熊猫卫生纸袋装400克,百合（一级）,,,,,,,,,,,,,,,,,
鲜鸡蛋,,,,,,,,,,,,,,,,,,,,,,,,
带鱼200-300,清美素香糕(散),三珍斋多油咸鸭蛋390g(65g*6),三全麦香早点奶香馒头1.36kg,塑料购物袋(大),,,,,,,,,,,,,,,,,,,,
小白菜（一级）,洋葱头（一级）,蒜头（一级）,鲜鸡蛋,清美素香糕(散),奥妙超效洗衣皂含芦荟精华206克*2,多晶冰糖(散),,,,,,,,,,,,,,,,,,
蒙牛真果粒牛奶饮品(桃果粒)250ml,蒙牛真果粒牛奶饮品(草莓果粒)250m,海天特级味极鲜酱油500ml,北高峰糯米黄酒（袋）400ml,,,,,,,,,,,,,,,,,,,,,
三全麦香早点奶香馒头1.36kg,,,,,,,,,,,,,,,,,,,,,,,,
民益散装打折糕点系列,白砂糖(散),,,,,,,,,,,,,,,,,,,,,,,
金龙鱼第二代调和油5L,葵花阳光大米(散装),,,,,,,,,,,,,,,,,,,,,,,
麦轩老婆饼280克,上好佳芝士条40g,可比克香辣薯片60克,塑料购物袋(大),大好大纸包瓜子138克,脉动维生素饮料水蜜桃口味600ml,怡宝饮用纯净水555ml,银鹭花生牛奶蛋白饮料500ml,娃哈哈营养快线果汁酸奶饮品椰子味,美汁源爽粒葡萄葡萄汁饮料420ml,蒙牛高钙低脂牛奶250ml,旺仔牛奶复原乳245ml,松川屋油炸青豆(麻辣味)50克,,,,,,,,,,,,
心相印手帕纸W112/9包装,塑料购物袋(大),波力鳕柳丝原味40克,喜之郎美好时光原味海苔4.5克,喜之郎蜜桔果肉优酪果冻160克,统一奶茶（可可）250ml,喜之郎什锦果肉果冻200克,上好佳玉米口味田园泡40g,舜吉香脆鸡排65克,统一奶茶（草莓）味饮料250ml,旺仔牛奶灭菌调味牛乳125ml*4,小燕子香酥鱼仔45克,娃哈哈冰红茶500ML,喜之郎果冻爽苹果味150克,味聚特烧烤藕片80克,牛奶果然多香醇原味特浓奶卷奶糖16,,,,,,,,,
益达木糖醇口香糖清爽西瓜味56克,,,,,,,,,,,,,,,,,,,,,,,,
踏佳路镂空女凉鞋630,,,,,,,,,,,,,,,,,,,,,,,,
带鱼200-300,,,,,,,,,,,,,,,,,,,,,,,,
白砂糖(散),大白菜（一级）,,,,,,,,,,,,,,,,,,,,,,,
翠冠梨（一级）,绿豆,干海带,小红豆,二级哈密瓜,,,,,,,,,,,,,,,,,,,,
老州山生虾皮,清美五香油干250g,白木耳(一级),三江购物龙须面250g,,,,,,,,,,,,,,,,,,,,,
半片鸭,全无敌蚊香(花香型)31g*20双盘,,,,,,,,,,,,,,,,,,,,,,,
黄芽菜（一级）,鸡翅根(特等),光明纯鲜牛奶1.5L,花蛤,咸亨辣味腐乳300克,花蛤,一级哈密瓜,杏包菇（一级）,小白菜（一级）,红富士75#果（一级）,红富士80#（一级）,一级哈密瓜,,,,,,,,,,,,,
鲜鸡蛋,,,,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,生姜（一级）,三江购物保鲜袋促销装40110(25*35),,,,,,,,,,,,,,,,,,,,,,
紫甘薯（一级）,木耳菜（一级）,白砂糖(散),,,,,,,,,,,,,,,,,,,,,,
金富士脆美司红番茄棒饼384克,三辉叮当铜锣烧红豆味280克,波力海苔原味24克(8切8枚),塑料购物袋(大),格力高菜园小饼比萨味100克,喜之郎优乐美麦香味奶茶22克,日清格力高菜园小饼蕃茄味100克,,,,,,,,,,,,,,,,,,
西王玉米胚芽油5L,三江购物东北珍珠米15kg,明润皱纹卫生纸500克,维纳斯牛头牌高效去油洗洁精2kg,塑料购物袋(大),百雀羚蚕丝丝素净白莹润柔肤水100m,云蕾七彩浴花56649,中美史克舒适达全面护理清新牙膏12,甘霖白砂糖500g,雪涛日晒自然盐300克,北高峰糯米黄酒（袋）400ml,杂粮面(散),,,,,,,,,,,,,
蒙牛果蔬酸酸乳草莓味饮品250ml,,,,,,,,,,,,,,,,,,,,,,,,
海天招牌拌饭酱(香辣)300克,南方女人多维豆浆粉350g,,,,,,,,,,,,,,,,,,,,,,,
百合（一级）,,,,,,,,,,,,,,,,,,,,,,,,
光明纯鲜牛奶980ml,清美传统腐竹200g,,,,,,,,,,,,,,,,,,,,,,,
安妮芳2条装女弹力棉三角裤2539（L,蓝怡雪裹胸4405,蓝怡雪竹纤维裹胸4578,天作洋槐蜜500g,北方绿人绿色杂粮木糖醇消化饼干39,福临门非转基因压榨葵花籽油5升,,,,,,,,,,,,,,,,,,,
爱富搪瓷锅盖32cm,应源搪瓷防锈铁锅1008-32cm,亲友枸杞王220g,舒肤佳纯白清香型香皂125克,汤师傅紫菜虾米汤72克,散装喜之郎果汁果冻条系列,云楼大蒜头200g,益达无糖口香糖清爽西瓜味13.5克,绿箭口香糖(5片)15克,塑料购物袋(大),苏泊尔豪华自动电饭煲CFXB40YB7C-7,,,,,,,,,,,,,,
蒙牛优益C活菌型乳酸菌乳饮料(芦荟,蒙牛优益C活菌型乳酸菌乳饮料(原味,蓝带啤酒11度拉罐330ml,老李五香蛋45克,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,光皮蛋,干海带,,,,,,,,,,,,,,,,,,,,,,
三江购物大豆油1.8L,生姜（一级）,花蛤,广中皇老牌腐乳皇白腐乳328g,乌江牌鲜香菜丝80克,乌江涪陵榨菜鲜爽菜丝80克,绿盛百卤坊五香凤爪30g,,,,,,,,,,,,,,,,,,
国产香蕉（一级）,青苹果（一级）,海带丝,,,,,,,,,,,,,,,,,,,,,,
南瓜（一级）,,,,,,,,,,,,,,,,,,,,,,,,
黑人茶倍健薄荷含氟牙膏140g,青蛙爽朗型牙刷992,清风原木纯品抽取式面纸(BR38MC)20,娃哈哈营养快线牛奶果昔饮品原味28,,,,,,,,,,,,,,,,,,,,,
贝因美1段乳清蛋白营养米粉225克,,,,,,,,,,,,,,,,,,,,,,,,
散装糯米,康师傅冰红茶柠檬味利乐包250ML,蒙牛酸酸乳蓝莓味乳饮料250ml,蒙牛优益C活菌型乳酸菌乳饮料(原味,,,,,,,,,,,,,,,,,,,,,
一级青提,萝卜（一级）,苦瓜（一级）,日本南瓜（一级）,可扬野生紫菜12g,青菜（一级）,黑糯玉米(只),芋艿（一级）,尖椒（一级）,今麦郎手打鸡蛋面200克,今麦郎手打拉面200克,,,,,,,,,,,,,,
小白菜（一级）,花蛤,,,,,,,,,,,,,,,,,,,,,,,
鸭边腿,国产香蕉（一级）,白砂糖(散),,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,味好美脆皮香辣炸鸡配料45克,蓝月亮深层洁净护理洗衣液薰衣草香,,,,,,,,,,,,,,,,,,,,,,
长瓜（一级）,鲈鱼（三级）,,,,,,,,,,,,,,,,,,,,,,,
百威9.7度啤酒拉罐500ml,青岛啤酒1903奥古特12度罐装500ml,塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,,
盼盼番茄味薯片(家庭装)138克,麦香堡夹心豆沙面包40克,圣茗香原味蛋35g,圣茗香原味鹌鹑蛋22g,扁担老头五香味豆干90g,婆婆嘴野山椒凤爪90克,国产香蕉（一级）,生姜（一级）,乌江涪陵榨菜鲜爽菜丝80克,乌江牌鲜香菜丝80克,乌江涪陵榨菜80克,,,,,,,,,,,,,,
国产香蕉（一级）,白砂糖(散),莲虹男短裤830(XXXL),,,,,,,,,,,,,,,,,,,,,,
鸭爪,光皮蛋,元宝牌优质特精小麦粉2.5kg,白砂糖(散),,,,,,,,,,,,,,,,,,,,,
新鲜生姜（一级）,带鱼200-300,对虾,,,,,,,,,,,,,,,,,,,,,,
霍尔格断码女凉鞋T40,蓝怡雪特大有托文胸3313(38#),,,,,,,,,,,,,,,,,,,,,,,
巨能纤味馆爽滑鸡蛋面454克,雪莲天然乳胶家用手套中号,三全麦香早点奶香馒头1.36kg,塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,
可口可乐1.25L+酷儿橙汁1.5L组合装,卡夫乐之小清新土豆原味土豆脆片45,贝因美营养米粉组合装450g(225g*2,,,,,,,,,,,,,,,,,,,,,,
冬瓜（一级）,兰州包心菜（一级）,小葱（一级）,国产香蕉（一级）,红萝卜（一级）,萝卜（一级）,,,,,,,,,,,,,,,,,,,
咸亨香糟卤500ml,咸亨南乳汁500ml,坛坛香精致剁辣椒425克,宝鼎天鱼香糟卤300ml,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,兰州包心菜（一级）,黑豆(散),丘比沙拉酱香甜味200克,,,,,,,,,,,,,,,,,,,,,
鲁花压榨一级花生油2.5L,,,,,,,,,,,,,,,,,,,,,,,,
兰州包心菜（一级）,苦瓜（一级）,冬瓜（一级）,红萝卜（一级）,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,,,,,,,,,,,,,,,,,,,,,,,,
花蛤,,,,,,,,,,,,,,,,,,,,,,,,
星燎原图书3.9,,,,,,,,,,,,,,,,,,,,,,,,
统一100老坛酸菜牛肉味面118克,白家酸辣粉丝袋装108克,亨氏优加营养胡萝卜面条246克,,,,,,,,,,,,,,,,,,,,,,
兰州包心菜（一级）,,,,,,,,,,,,,,,,,,,,,,,,
美汁源(热带果粒+果粒橙)1.25L组合,榄菊蚊香大盘装（高级型）310g,塑料购物袋(大),雯丽豆乳蛋白水润白皙面贴膜1片装,花蛤,良厨灌汤鲜肉水饺450g,黑茄（一级）,芹菜（一级）,小白菜（一级）,,,,,,,,,,,,,,,,
清美素香糕(散),,,,,,,,,,,,,,,,,,,,,,,,
零度可口可乐汽水拉罐(无糖)330ml,小红豆,绿豆,达利园法式软面包香奶味600g,蒙牛新养道低乳糖牛奶250ml,蒙牛新养道珍养牛奶250ml,,,,,,,,,,,,,,,,,,,
今麦郎葱香排骨面109克五连包,蒙牛妙妙草莓乳酸饮品125ml*4,旺旺碎冰冰果味饮料柑桔味78ml,旺旺碎冰冰果味饮料菠萝味78ml,旺旺碎冰冰果味饮料草莓味78ml,旺旺碎冰冰果味饮料乳酸味78ml,旺旺碎冰冰果味饮料柑桔味78ml,旺旺碎冰冰果味饮料菠萝味78ml,旺旺碎冰冰果味饮料草莓味78ml,旺旺碎冰冰果味饮料乳酸味78ml,,,,,,,,,,,,,,,
V4028维达蓝色经典卷筒纸10卷装,黑人双重薄荷(原味清凉)牙膏180克,,,,,,,,,,,,,,,,,,,,,,,
清美四鲜烤麸250g,清美精制小素肠(散),海带丝,蒙牛酸牛奶(原味)950g,蒙牛高钙低脂牛奶250ml,,,,,,,,,,,,,,,,,,,,
统一老坛酸菜牛肉风味酱拌面122克,统一卤肉拌面卤香牛肉味110克,,,,,,,,,,,,,,,,,,,,,,,
喜拖拖吹气男拖9020,塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,,,
冬瓜（一级）,,,,,,,,,,,,,,,,,,,,,,,,
三辉麦风提拉米苏巧克力味蛋糕100,S兰中花女中裤826(-1),盼盼烧烤牛排105克,圣茗香鹌鹑蛋45克,如果他夹心棒棒糖18g,珍宝珠混合味硬糖棒棒糖10.5克,奥妙超效洗衣皂含芦荟精华206克*2,舒肤佳纯白清香型香皂125克,,,,,,,,,,,,,,,,,
奥妙净蓝全效水清莲香无磷洗衣粉1.,塑料购物袋(大),西红柿（一级）,益达至尊爽洁微粒无糖口香糖56克,娃哈哈花生牛奶蛋白饮品500ml,美汁源果粒奶优饮料清香菠萝味450m,鲜鸡蛋,,,,,,,,,,,,,,,,,,
长寿花金胚玉米油2.5L,今麦郎葱香排骨面109克五连包,乡下妹榨菜芯85克,心相印婴儿专用面巾纸DT1120(120抽,清风超质感抽取式面巾纸200抽*3,塑料购物袋(大),日清开杯乐五香牛肉面83克,统一来一桶红烧牛肉面105克,康师傅红烧牛肉面桶装105克,备得福麻油榨菜60克,备得福麻油榨菜160克,厨邦美味鲜酱油760ml,海天锦上鲜蒜蓉辣椒酱230克,蓝月亮芦荟洗手液+芦荟补充装500g+,妙洁畅饮杯210ml(80只装),金钟玫瑰米醋袋装225ml,,,,,,,,,
沙宣空气感卷发蜡50g,佳洁士全优7效牙膏90克配磨砂水杯,心相印优选通用清洁湿巾20片装,益达无糖口香糖热带水果味12片32克,荷氏草本润喉糖冰糖雪梨味20.8克,丝诺纯棉木棒棉签100支装,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,塑料购物袋(大),雪碧清爽柠檬味汽水500ml,鸭爪,山竹（一级）,蓝月亮亮白增艳深层洁净洗衣液自然,单晶冰糖(散),白砂糖(散),黑米,小米(散),光明e+益生菌酸牛奶(原味)125g,雯丽芦荟原液深层补水面贴膜1片装,雯丽红酒多酚炫透亮白面贴膜1片装,百顺割绒提花童巾0220(25*50cm),百顺割绒提花童巾0103(26*52cm),百顺割绒勾边提花童巾1602(25*50cm,世家中号点断式保鲜袋（150只+30只,可洁可净物理磨尖毛牙刷5支装K323,维纳斯多效金银花花露水195ml,世家清洁球（2只装）21044,苏泊尔好帮手精铸铁锅(FC32E2)32CM,,,,
蒙牛高钙牛奶250ml,蒙牛特仑苏低脂奶250ml*12,,,,,,,,,,,,,,,,,,,,,,,
喜之郎美好时光海苔7.5克,福马咪咪油炸小食品红烧牛肉味180,舒肤佳纯白清香型香皂125克,华味亨冰糖杨梅180克,智神无核阿胶蜜枣50克,不二家棒棒糖50克*8支,润亨红珍珠迷你山楂片155克,香飘飘珍珠奶茶香芋70克,荷氏冰球无糖冰泉蓝莓薄荷糖15克,润亨阿胶蜜枣50克,绿箭口香糖(5片)15克,,,,,,,,,,,,,,
兰州包心菜（一级）,红萝卜（一级）,土豆（一级）,,,,,,,,,,,,,,,,,,,,,,
三江购物大豆油5L,,,,,,,,,,,,,,,,,,,,,,,,
塔牌绍兴酒15.5度3L,土豆（一级）,,,,,,,,,,,,,,,,,,,,,,,
上海药皂高级透明药皂130g,,,,,,,,,,,,,,,,,,,,,,,,
老李五香鸡翅80克,益达无糖口香糖清爽西瓜味13.5克,,,,,,,,,,,,,,,,,,,,,,,
爱特福‘84’消毒液518ml,蓝月亮卫诺衣物消毒液2kg,蓝月亮亮白增艳深层洁净洗衣液薰衣,,,,,,,,,,,,,,,,,,,,,,
本地鲜鸡蛋,,,,,,,,,,,,,,,,,,,,,,,,
八宝粥料(散),,,,,,,,,,,,,,,,,,,,,,,,
塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,,,,
长粒香糯米(散),香软粳米(散装),,,,,,,,,,,,,,,,,,,,,,,
运隆带手柄水桶(大)YL5404,,,,,,,,,,,,,,,,,,,,,,,,
一级哈密瓜,五丰好媳妇灌汤水饺(芹菜猪肉)420g,,,,,,,,,,,,,,,,,,,,,,,
西红柿（一级）,丝瓜（一级）,灯椒（一级）,日本南瓜（一级）,,,,,,,,,,,,,,,,,,,,,
可口可乐汽水2.3L,雪碧汽水2.3L,,,,,,,,,,,,,,,,,,,,,,,
楚源香米(散),白大夫瞬透补湿BB隔离霜30g,,,,,,,,,,,,,,,,,,,,,,,
